id,number,title,state,body,author,comments_count,labels,url,created_at,closed_at,sentiment,category,urgency
3756814641,36808,Bug: DuckDB charts fail with misleading “Authentication required” error (Issue 1011),closed,"### Bug description


**Superset version:** (fill in, e.g. 6.0.0)
**Database:** DuckDB
**Deployment:** ( k8s)
**OS:** (Linux)

---

### Description

When using **DuckDB** as a database in Superset, **SQL Lab queries work**, but **creating charts in Explore always fails** with:

```
DB engine Error
Authentication required.
Issue 1011 - Superset encountered an unexpected error.
```

This error is misleading: DuckDB does **not support authentication**, and the connection itself is valid.

---

### Steps to reproduce

1. Add a DuckDB database in Superset
   Example SQLAlchemy URI:

   ```
   duckdb:///:memory:
   ```

2. Go to **SQL Lab** and run:

   ```sql
   SELECT
     i AS content_id,
     (i * 37) % 500 + 50 AS view_count
   FROM range(1, 11) AS r(i);
   ```

   ✅ Query runs successfully

3. Click **Explore → Save as Dataset** (Virtual Dataset)
   ✅ Dataset is created successfully

4. Click **Create Chart** from the dataset
   ❌ Error occurs:

   ```
   Authentication required (Issue 1011)
   ```

---

### Expected behavior

* Superset should allow creating charts from DuckDB datasets (physical or virtual), **or**
* Superset should fail gracefully with a **clear error message** indicating that DuckDB Explore/metadata reflection is unsupported.

---

### Actual behavior

* SQL Lab works
* Dataset creation works
* Chart creation fails
* Superset throws a **misleading “Authentication required” error**

---

### Additional notes / diagnosis

* This happens with:

  * File-backed DuckDB (not `:memory:`)
  * Tables, views, and virtual datasets
* Permissions and file access are correct
* The failure appears during **Explore / metadata inspection / reflection**
* The error message is incorrect and makes debugging difficult

---


### Screenshots/recordings

<img width=""1048"" height=""768"" alt=""Image"" src=""https://github.com/user-attachments/assets/54a65a67-3c20-4d90-a964-c235008144b8"" />


<img width=""1214"" height=""454"" alt=""Image"" src=""https://github.com/user-attachments/assets/65e580ac-d135-4f49-973f-8631d49f3c19"" />


### Superset version

master / latest-dev

### Python version

3.11

### Node version

20

### Browser

Chrome

### Additional context

_No response_

### Checklist

- [x] I have searched Superset docs and Slack and didn't find a solution to my problem.
- [x] I have searched the GitHub issue tracker and didn't find a similar bug report.
- [x] I have checked Superset's logs for errors and if I found a relevant Python stacktrace, I included it here as text in the ""additional context"" section.",DataStrategistTeam,3,"validation:required, data:databases, explore:error",https://github.com/apache/superset/issues/36808,2025-12-23T10:00:42Z,2025-12-23T14:38:53Z,negative,bug,high
3756677165,36807,Treemap chart color issue,open,"### Bug description

Bug Description: 
1. Treemap chart's coloring seems to be only categorical, and not sequential/linear.
2. There seems to be a 1px wide gap around the key and or value text.

- Superset 4.1.1: Have sequential/linear coloring, did not have the gap.  
- Superset 4.1.4: Categorical coloring only, did not have the gap.
- Superset 6.0.0: Categorical coloring only, have the 1px gap.

Changing Color Scheme had no effect beyond changing the colors used. No custom CSS were used.
I could test other versions, if that would be of help.



### Screenshots/recordings

1. 6.0.0/4.1.4:

<img width=""1200"" height=""471"" alt=""Image"" src=""https://github.com/user-attachments/assets/e8673a8a-0966-448a-b57f-4636e846300a"" />

2. 4.1.1 (ideal)

<img width=""1200"" height=""471"" alt=""Image"" src=""https://github.com/user-attachments/assets/3659e923-ed50-4ad6-974c-e6fd42a5650c"" />

### Superset version

6.0.0

### Python version

3.11

### Node version

I don't know

### Browser

Chrome

### Additional context

- Error persists in Chrome and Firefox.
- No error message in browser console or in the log.
- Built custom image based on 6.0.0. Dockerfile:
```Dockerfile
 FROM apache/superset:6.0.0

 USER root

 ENV BUILD_TRANSLATIONS=""true""

 RUN apt update
 RUN apt install -y python3-dev default-libmysqlclient-dev build-essential pkg-config

 RUN . /app/.venv/bin/activate
 RUN uv pip install \
     psycopg2-binary \
     mysqlclient \
     Authlib

 USER superset
 CMD [""/app/docker/entrypoints/run-server.sh""]
```

### Checklist

- [x] I have searched Superset docs and Slack and didn't find a solution to my problem.
- [x] I have searched the GitHub issue tracker and didn't find a similar bug report.
- [x] I have checked Superset's logs for errors and if I found a relevant Python stacktrace, I included it here as text in the ""additional context"" section.",IHadAFish,1,"#bug:cosmetic, viz:charts:treemap",https://github.com/apache/superset/issues/36807,2025-12-23T09:14:43Z,,negative,bug,medium
3756597441,36806,Offset metrics are not displayed as dashed lines on line chart in version 6.0.0.,open,"### Bug description

In version 6.0.0, offset metrics are no longer displayed as dashed compared to version 4.1.4, a crucial issue for us. 
The issue occurs when a chart displays only one metric; multiple metrics do not cause the problem.

We would appreciate a fix in the next minor release. Thanks.



This is version 4.1.4

<img width=""1125"" height=""661"" alt=""Image"" src=""https://github.com/user-attachments/assets/4fee8925-7ffe-4898-a689-7b0eb4fd4745"" />

And this is version 6.0.0

<img width=""1252"" height=""445"" alt=""Image"" src=""https://github.com/user-attachments/assets/87e0634d-0006-46cd-9142-4c139d15a360"" />

### Screenshots/recordings

_No response_

### Superset version

master / latest-dev

### Python version

3.9

### Node version

16

### Browser

Chrome

### Additional context

_No response_

### Checklist

- [x] I have searched Superset docs and Slack and didn't find a solution to my problem.
- [x] I have searched the GitHub issue tracker and didn't find a similar bug report.
- [x] I have checked Superset's logs for errors and if I found a relevant Python stacktrace, I included it here as text in the ""additional context"" section.",iercan,1,"#bug:regression, viz:charts:line",https://github.com/apache/superset/issues/36806,2025-12-23T08:46:46Z,,negative,bug,high
3755142919,36798,ECharts Time Grain HOUR generates invalid SQL (DATE() dropped),open,"### Bug description

### Summary
When using **ECharts time-series charts (area chart)** with **Time Grain = HOUR**, Superset 6.x generates an **incorrect SQL expression** for the hourly bucket.

The generated SQL **drops the `DATE()` truncation**, which prevents proper aggregation and results in one row per record.

This is a **regression compared to Superset 4.1.4**.

---

### Superset version
- Superset: **6.x** (reproduced on latest 6.0.x)
- Python: 3.11
- Chart type: **ECharts – Area Chart**
- Time grain: **HOUR (PT1H)**

---

### Database / Engine
- Tested with:
  - **StarRocks** (`starrocks://`)
  - **MySQL** (`mysql://`)
- The issue occurs **independently of the SQLAlchemy backend**.

---

### Expected behavior
For Time Grain = **HOUR**, Superset should generate a bucket that truncates minutes and seconds, for example:

```sql
DATE_ADD(DATE(col), INTERVAL HOUR(col) HOUR)
```

(or any equivalent expression that produces `YYYY-MM-DD HH:00:00`).

This correctly aggregates rows by hour.

---

### Actual behavior
Superset generates:

```sql
DATE_ADD(col, INTERVAL (HOUR(col)) HOUR)
```

This expression:
- does **not** truncate minutes/seconds
- keeps `mm:ss` from the original timestamp
- results in **no aggregation** (each row remains unique)

---

### Evidence / Analysis

- `StarRocksEngineSpec.get_time_grain_expressions()[""PT1H""]` correctly returns:

```sql
DATE_ADD(DATE({col}), INTERVAL HOUR({col}) HOUR)
```

- However, for **ECharts charts**, the SQL rendered in the final query **drops `DATE()`**.
- A marker inserted in `get_time_grain_expressions()` confirms that:
  - the mapping **is called**
  - but the expression is later **re-rendered / normalized**, losing `DATE()`

Example observed query fragment:

```sql
/* __MARK_PT1H__ */
GROUP BY
  DATE_ADD(`START_DATETIME_UTC`, INTERVAL (HOUR(`START_DATETIME_UTC`)) HOUR)
```

This proves that:
- the EngineSpec mapping is consulted
- but the final SQL is reconstructed incorrectly afterward

---

### Why this is a bug
- The expression produced by Superset does **not implement an hourly time bucket**
- It breaks all time-series aggregations at the HOUR grain
- This affects **all databases**, not only StarRocks
- Superset 4.1.4 did not exhibit this behavior

---

### Workaround
A workaround is to override the PT1H grain with a non-optimizable expression, for example:

```sql
DATE_ADD(CAST(DATE({col}) AS DATETIME), INTERVAL HOUR({col}) HOUR)
```

This prevents the renderer from dropping the truncation.

Here is the full patch to put in config file:
```python
def FLASK_APP_MUTATOR(app):
    from superset.db_engine_specs.starrocks import StarRocksEngineSpec

    orig = StarRocksEngineSpec.get_time_grain_expressions

    @classmethod
    def patched(cls):
        d = dict(orig() or {})
        d[""PT1H""] = ""DATE_ADD(CAST(DATE({col}) AS DATETIME), INTERVAL HOUR({col}) HOUR)""
        return d

    try:
        orig.cache_clear()
    except Exception:
        pass

    StarRocksEngineSpec.get_time_grain_expressions = patched
    return app
```

---

### Suggested fix
- Ensure that **ECharts time-series SQL generation respects the full expression returned by `get_time_grain_expressions()`**
- Avoid reconstructing the HOUR expression manually
- Alternatively, use a canonical implementation like:

```sql
date_trunc('hour', col)
```

where supported.

---

### Reproduction steps
1. Create a dataset with a DATETIME/TIMESTAMP column
2. Create an **ECharts Area Chart**
3. Set:
   - Time Grain = **HOUR**
4. Inspect **View query**
5. Observe `DATE_ADD(col, INTERVAL HOUR(col) HOUR)` instead of a truncated timestamp

---

### Additional notes
- Switching between `mysql://` and `starrocks://` does **not** change the behavior
- Other time grains (DAY, MONTH, YEAR) behave correctly
- This appears specific to **PT1H handling in the ECharts query pipeline**


### Screenshots/recordings

_No response_

### Superset version

6.0.0

### Python version

3.11

### Node version

16

### Browser

Chrome

### Additional context

_No response_

### Checklist

- [x] I have searched Superset docs and Slack and didn't find a solution to my problem.
- [x] I have searched the GitHub issue tracker and didn't find a similar bug report.
- [x] I have checked Superset's logs for errors and if I found a relevant Python stacktrace, I included it here as text in the ""additional context"" section.",renaudk,0,#bug:regression,https://github.com/apache/superset/issues/36798,2025-12-22T20:37:07Z,,negative,bug,high
3754037172,36795,Bug(chart): Three-dot menu button alignment broken by linkHoverBg theme token,open,"## Screenshot

<img width=""405"" height=""595"" alt=""Image"" src=""https://github.com/user-attachments/assets/c0f66870-f901-45af-84bc-990d9f3a6a56"" /> 

<img width=""43"" height=""50"" alt=""Image"" src=""https://github.com/user-attachments/assets/3b7450b3-0327-4509-bd68-1412937d004a"" />

<img width=""405"" height=""591"" alt=""Image"" src=""https://github.com/user-attachments/assets/70ae913a-3a0a-443a-ab73-2001dd369e86"" />

<img width=""48"" height=""58"" alt=""Image"" src=""https://github.com/user-attachments/assets/a860b6a8-7833-4659-b405-a99deb92cb0f"" />

## Description

The three-dot menu button on chart has a visual alignment issue when a custom theme defines a `linkHoverBg` color for buttons. The icon appears off-center, pushed to the right edge of the button's hover background area.

#### Current Behavior
Default theme:
- `linkHoverBg` is transparent by default
- Button has padding-right: 0
- Icon appears visually centered ✅

Custom theme:
- `linkHoverBg` is not transparent, e.g., `rgba(0,0,0,0.04)`
- Button has padding-right: 0
- Icon appears pushed to the right edge of the hover background ❌

#### Root Causes
1. CSS issue: `padding-right: 0` removes necessary spacing for the hover background
2. Semantic issue: Using `buttonStyle=""link""` for a menu toggle button (not an actual link)
3. Theme incompatibility: Custom theme tokens expose the layout flaw

#### Steps to Reproduce
1. Apply custom theme in config.py
```py
THEME_DEFAULT = {
    ""components"": {
      ""Button"": {
        ""linkHoverBg"": ""rgba(0,0,0,0.04)""
      }
    },
    ""algorithm"": ""default"",
}
THEME_DARK = {
    ""components"": {
      ""Button"": {
        ""linkHoverBg"": ""rgba(255,255,255,0.08)""
      }
    },
    ""algorithm"": ""dark"",
}
```
2. Navigate to any dashboard with charts
3. Hover over any chart's three-dot menu button (top-right corner)
4. Observe the visual defect - three-dot icon is not centered within the hover background",innovark37,3,"#bug:cosmetic, global:theming",https://github.com/apache/superset/issues/36795,2025-12-22T14:38:24Z,,negative,bug,medium
3753705417,36794,"UI/UX, Theming, Chart Extension, and Mobile Export Limitations in Apache Superset",open,"## Screenshot

<img width=""1920"" height=""1833"" alt=""Image"" src=""https://github.com/user-attachments/assets/0b6ad2e9-e9de-46cf-8edf-33b2b7e324e6"" />

<img width=""1540"" height=""797"" alt=""Image"" src=""https://github.com/user-attachments/assets/18d5abc8-1afc-4002-b7bf-255d71425e01"" />

<img width=""1016"" height=""526"" alt=""Image"" src=""https://github.com/user-attachments/assets/10837400-4d75-4664-9e0e-d779121f653b"" />

[score card - GE - EN.pdf](https://github.com/user-attachments/files/24291558/score.card.-.GE.-.EN.pdf)


---

## Description

I am facing multiple UI/UX and export-related limitations while working with **Apache Superset**, specifically when trying to:

* Reproduce a **Figma-based dashboard design**
* Apply **Ant Design themes**
* Extend **ECharts capabilities**
* Export **mobile-friendly PNG/PDF reports via email**

Despite trying various supported and suggested approaches, I am unable to achieve the expected results. Below are the detailed issues.

---

### Issue 1: Unable to Reproduce Figma Dashboard UI/UX (Layout & Styling Limitations)

I tried to closely match the dashboard UI/UX as defined in Figma, but due to Superset’s layout and styling constraints, I am unable to reproduce it accurately.

What I’ve tried:

* Nested **rows and columns**
* **Markdown / Text components** for layout structuring
* Adjusting chart sizes, padding, and spacing
* Applying **global CSS overrides** for dashboard background, chart cards, and containers

Observed behavior:

* Dashboard and chart cards always render with a **plain white appearance**
* CSS changes for:

  * Background colors
  * Card coloring
  * Section grouping
    either do not apply or apply inconsistently
* Fine-grained control (pixel-perfect alignment, grouped visual sections, rich card UI) similar to Figma seems very difficult or not achievable

**Question:**
Are these UI/UX limitations expected by design in Superset, or is there a recommended approach to build **design-heavy dashboards**?

---

### Issue 2: Ant Design Theme Configuration Has No Impact on Dashboards

I attempted to customize the UI using **Ant Design themes** generated from the Ant Theme Editor:

[https://ant.design/theme-editor](https://ant.design/theme-editor)

Steps taken:

* Generated Ant Design theme tokens
* Applied the theme configuration in Superset
* Verified that Superset internally uses Ant Design

Observed behavior:

* No visible changes on dashboards or charts
* No impact on:

  * Colors
  * Typography
  * Spacing
  * Card appearance

**Questions:**

* Do Ant Design themes apply:

  * Per dashboard?
  * Per chart?
  * Only at application/template level?
* Are Ant themes expected to affect dashboard visuals at all, or only core UI elements (menus, buttons, filters)?

Currently, it appears Ant Design theming does **not** influence dashboard UI in a meaningful way.

---

### Issue 3: Limited ECharts & iFrame Embedding Errors

https://echarts.apache.org/examples/en/index.html#chart-type-funnel

Superset provides a limited set of built-in ECharts. To extend this, I attempted to embed custom ECharts using **iFrames inside Markdown**, based on community and GPT suggestions.

I modified `config.py` with the following settings:

```python
# ---- ENABLE IFRAME IN MARKDOWN ----
ALLOW_IFRAME = True
ENABLE_JINJA_TEMPLATING = True

HTML_SANITIZATION = True
HTML_SANITIZATION_SCHEMA_EXTENSIONS = {
    ""tagNames"": [""iframe""],
    ""attributes"": {
        ""iframe"": [
            ""src"",
            ""width"",
            ""height"",
            ""style"",
            ""frameborder"",
            ""allow"",
            ""allowfullscreen""
        ]
    }
}

TALISMAN_ENABLED = False
```

Observed behavior:

* Dashboards fail to render properly
* iFrames are still blocked or error out
* Security / sanitization-related errors appear (screenshots attached)

**Questions:**

* Is embedding custom ECharts via iFrame officially supported?
* Are additional CSP or security settings required?
* What is the recommended way to extend ECharts beyond Superset’s built-in options?

---

### Issue 4: Dashboard Export (Email Reports) Not Mobile-Friendly & Limited to Viewport

I am also facing major limitations with **PNG / PDF exports via Email Reports**, especially for **mobile consumption**.

#### Observed issues

1. **Minimum width limitation (~600px)**

   * Exported PNGs/PDFs appear to have a minimum width of ~600px
   * Reports are hard to read on mobile devices
   * Mobile-first dashboard layouts are not respected in exports

2. **Blank / dead space in exported images**

   * When chart data occupies a smaller area, exported images still reserve large empty space
   * Results in poor visual density and wasted screen space

3. **Only current viewport is captured**

   * If the dashboard is scrollable:

     * Only the visible viewport is captured
     * Content below the fold is missing in exports

4. **No responsive scaling for mobile**

   * Exports reuse desktop layout
   * No reflow or scaling based on device size

---

#### Expected behavior

Ideally, we are looking for:

* Ability to export the **entire scrollable dashboard**
* Control over export **width, height, resolution, or scaling**
* Better handling of:

  * Auto-sizing charts
  * Removing unused blank space
* Support or best practices for **mobile-friendly email reports**

---

#### Questions

* Is there any supported way to:

  * Export the **full dashboard**, not just the visible viewport?
  * Configure export resolution or viewport size?
* Are there configuration flags related to:

  * Screenshot dimensions
  * Mobile-friendly rendering
* Are these limitations known and expected with the current export engine?

---

## Design input

I would appreciate guidance from:

* **Superset core contributors** (platform capabilities & limitations)
* **UI/UX or design contributors** (what is realistically achievable)

Specifically, I’m looking for clarity on:

* Whether **pixel-perfect Figma replication** is feasible in Superset
* The real scope of **Ant Design theming**
* Supported approaches to:

  * Rich UI dashboards
  * Custom ECharts
  * Mobile-friendly exports

If needed, this can be treated as a **design review or design suggestion**.

Thank you for your time and guidance.
",amoljagadale-max,1,"viz:charts:echarts, dashboard:css, dashboard:design, global:theming, dashboard:export",https://github.com/apache/superset/issues/36794,2025-12-22T12:52:28Z,,negative,bug,medium
3752758950,36791,How filters work in dashboards (version 5.0.0),open,"### Bug description

When I apply a filter on one tab of a dashboard and then switch to another, some datasets stop displaying any information. We only see this behavior with table charts. (version superset 5.0.0)

![Image](https://github.com/user-attachments/assets/a3eba043-16cd-49fc-ac1e-e6a130e321c3)

### Screenshots/recordings

_No response_

### Superset version

5.0.0

### Python version

3.9

### Node version

16

### Browser

Chrome

### Additional context

_No response_

### Checklist

- [ ] I have searched Superset docs and Slack and didn't find a solution to my problem.
- [ ] I have searched the GitHub issue tracker and didn't find a similar bug report.
- [ ] I have checked Superset's logs for errors and if I found a relevant Python stacktrace, I included it here as text in the ""additional context"" section.",crazychaz,1,"validation:required, viz:charts:table, dashboard:tab, dashboard:filtersets",https://github.com/apache/superset/issues/36791,2025-12-22T08:12:55Z,,negative,bug,high
3750964730,36779,Deck.gl polygon error,open,"### Bug description

Hi, I have a lot of deck.gl polygon maps. In Superset 5.0 everything works. 


<img width=""2216"" height=""1570"" alt=""Image"" src=""https://github.com/user-attachments/assets/ffa27f9b-33d7-4f97-9b3e-1c8ba902d779"" />

In Superset 6.0.0 map is rendered, but when the mouse hovers coloured part of map I get an error.

<img width=""2904"" height=""624"" alt=""Image"" src=""https://github.com/user-attachments/assets/47133b7e-61df-449f-bd19-e44cc35aca09"" />

Thank you for your attention.
",zufolo441,15,viz:charts:deck.gl,https://github.com/apache/superset/issues/36779,2025-12-21T09:40:02Z,,negative,bug,high
3749940528,36776,Table Drill to detail by date error,open,"### Bug description

Version：6.0.0
ChartType: Table

1. Drill to detail by datetime (Time Grain is Day)
2. SQL does not run according to the logic `toStartOfDay(toDateTime(""signup_done_time"")) = toDateTime ('2025 -12-18 00:00: 00')`. It's a direct string assignment, like this
``` SQL
AND ""signup_done_time"" = '2025-11-17T00:00:00.000Z'
```

### Screenshots/recordings

<img width=""470"" height=""180"" alt=""Image"" src=""https://github.com/user-attachments/assets/050207b8-7288-4d0c-bf2c-92a2cc828e74"" />

Error: Received ClickHouse exception, code: 53, server response: Code: 53. DB::Exception: Cannot convert string 2025-12-20T00:00:00.000Z to type DateTime('Asia/Shanghai'): while executing 'FUNCTION equals(breakdown_values : 0, '2025-12-20T00:00:00.000Z' : 5) -> equals(breakdown_values, '2025-12-20T00:00:00.000Z') UInt8 : 8'. (TYPE_MISMATCH) (version 23.8.9.1) (for url http://...:8123)

<img width=""882"" height=""510"" alt=""Image"" src=""https://github.com/user-attachments/assets/49603461-f099-42bb-898f-5ebc55a484ae"" />

### Superset version

6.0.0

### Python version

3.9

### Node version

16

### Browser

Chrome

### Additional context

_No response_

### Checklist

- [x] I have searched Superset docs and Slack and didn't find a solution to my problem.
- [x] I have searched the GitHub issue tracker and didn't find a similar bug report.
- [x] I have checked Superset's logs for errors and if I found a relevant Python stacktrace, I included it here as text in the ""additional context"" section.",inbreaks,1,"validation:required, viz:charts:table, dashboard:drill-down",https://github.com/apache/superset/issues/36776,2025-12-20T10:57:32Z,,negative,bug,high
3749841038,36775,Sorting in filter values,open,"### Bug description

The same issue as here
https://github.com/apache/superset/issues/35008

It's about sorting Int values as String in filters
In 6.0.0RC2 it was fixed.
But in 6.0.0 it reproduces again



### Screenshots/recordings

<img width=""254"" height=""376"" alt=""Image"" src=""https://github.com/user-attachments/assets/3a517f56-2374-4efe-a076-8f7a8042ca8b"" />

### Superset version

6.0.0

### Python version

3.9

### Node version

16

### Browser

Chrome

### Additional context

_No response_

### Checklist

- [x] I have searched Superset docs and Slack and didn't find a solution to my problem.
- [ ] I have searched the GitHub issue tracker and didn't find a similar bug report.
- [x] I have checked Superset's logs for errors and if I found a relevant Python stacktrace, I included it here as text in the ""additional context"" section.",stanislav-dombrovskiy-dp,1,"validation:required, explore:filter",https://github.com/apache/superset/issues/36775,2025-12-20T09:21:54Z,,negative,bug,medium
